,Year,Country,Activity,Sex ,Fatal
0,2018,USA,Paddling,F,N
1,2018,USA,Standing,F,N
2,2018,USA,Surfing,M,N
3,2018,AUSTRALIA,Surfing,M,N
4,2018,MEXICO,Free diving,M,N
5,2018,AUSTRALIA,Kite surfing,M,N
6,2018,BRAZIL,Swimming,M,Y
7,2018,USA,Fishing,M,N
8,2018,USA,Walking,M,N
9,2018,USA,Standing,M,N
10,2018,AUSTRALIA,Feeding sharks,M,N
11,2018,USA,Boogie boarding,M,N
12,2018,USA,Swimming,M,N
13,2018,ENGLAND,Fishing,M,N
14,2018,AUSTRALIA,Feeding sharks,F,N
15,2018,SOUTH AFRICA,Surfing,M,N
16,2018,AUSTRALIA,Surfing,M,N
17,2018,THAILAND,Swimming,M,N
18,2018,COSTA RICA,Scuba diving,M,N
19,2018,AUSTRALIA,Surfing,M,N
20,2018,AUSTRALIA,Surfing,M,N
21,2018,AUSTRALIA,Surfing,M,N
22,2018,AUSTRALIA,Surfing,M,N
23,2018,MALDIVES,Fishing,M,N
24,2018,SOUTH AFRICA,Paddle-skiing,M,N
25,2018,USA,Body boarding,M,N
26,2018,THAILAND,Swimming,M,N
27,2018,BRAZIL,Swimming,M,0
28,2018,AUSTRALIA,Surfing,M,N
29,2018,AUSTRALIA,Surfing,M,N
30,2018,BAHAMAS,Surfing,M,N
31,2018,BRAZIL,Fishing,M,N
32,2018,NEW CALEDONIA,Windsurfing,0,N
33,2018,BAHAMAS,Swimming,M,N
34,2018,SOUTH AFRICA,Surfing,M,N
35,2018,USA,Stand-Up Paddleboarding,M,N
36,2018,AUSTRALIA,Wading,M,N
37,2018,AUSTRALIA,Swimming,M,N
38,2018,AUSTRALIA,Surfing,M,N
39,2018,SOUTH AFRICA,Scuba Diving,M,N
40,2018,AUSTRALIA,Swimming,F,N
41,2018,AUSTRALIA,Kayak fishing for sharks,M,N
42,2018,AUSTRALIA,Walking,M,N
43,2018,AUSTRALIA,Swimming,F,N
44,2018,BRAZIL,Cleaning fish,F,N
45,2018,ECUADOR,Snorkeling,M,N
46,2018,AUSTRALIA,Spearfishing,M,N
47,2018,AUSTRALIA,0,M,N
48,2018,NEW CALEDONIA,Spearfishing,M,N
49,2018,AUSTRALIA,Diving,M,N
50,2018,AUSTRALIA,Free diving,M,N
51,2018,BRAZIL,Surfing,M,N
52,2018,AUSTRALIA,Surfing,M,N
53,2017,USA,Surfing,F,N
54,2017,USA,Surfing,F,N
55,2017,MALAYSIA,Fishing / Wading,M,N
56,2017,BAHAMAS,Snorkeling,F,N
57,2017,COSTA RICA,Scuba Diving,M,N
58,2017,COSTA RICA,Scuba diving,F,Y
59,2017,LIBYA,2 boats capsized,0,Y
60,2017,USA,Spearfishing,M,N
61,2017,USA,Surfing,F,N
62,2017,0,Surfing,M,N
63,2017,AUSTRALIA,Surfing,M,N
64,2017,CUBA,Night bathing,M,Y
65,2017,AUSTRALIA,Snorkeling,M,N
66,2017,AUSTRALIA,Surfing,M,N
67,2017,USA,Stand-Up Paddleboarding,M,N
68,2017,MAURITIUS,Swimming,M,N
69,2017,USA,Surfing ,M,N
70,2017,USA,Swimming,F,N
71,2017,AUSTRALIA,Kayaking / Fishing,F,N
72,2017,NEW ZEALAND,Kayaking,M,N
73,2017,USA,Swimming,M,N
74,2017,USA,Surfing,M,N
75,2017,USA,Snorkeling,F,N
76,2017,SOUTH AFRICA,Scuba Diving,M,0
77,2017,USA,Surfing,M,N
78,2017,AUSTRALIA,Surfing,M,N
79,2017,USA,Surfing,M,0
80,2017,USA,Surfing,M,N
81,2017,USA,Surfing,M,N
82,2017,SPAIN,Body surfing,M,N
83,2017,USA,Surfing,M,N
84,2017,SOUTH AFRICA,Scuba Diving,M,0
85,2017,SAMOA,Fishing,M,N
86,2017,AUSTRALIA,Fishing,0,N
87,2017,USA,Surfing,M,N
88,2017,AUSTRALIA,Swimming,M,N
89,2017,AUSTRALIA,Surfing,M,N
90,2017,SOLOMON ISLANDS,Spearfishing,M,N
91,2017,SOUTH AFRICA,"Swimming, poaching abalone",M,Y
92,2017,JAPAN,Surfing,M,N
93,2017,USA,Swimming,M,N
94,2017,USA,Swimming,F,N
95,2017,USA,Surfing,M,N
96,2017,AUSTRALIA,Surfing,M,N
97,2017,USA,Wading,F,N
98,2017,SPAIN,Swimming,F,0
99,2017,NEW ZEALAND,Canoeing,M,N
100,2017,USA,SUP,M,N
101,2017,BAHAMAS,Spearfishing,M,N
102,2017,USA,Swimming,M,N
103,2017,EGYPT,Snorkeling,F,N
104,2017,USA,Fishing,M,N
105,2017,USA,Kayaking / Fishing,M,N
106,2017,USA,Skimboarding,M,N
107,2017,USA,Swimming,M,0
108,2017,USA,0,F,N
109,2017,BAHAMAS,Snorkeling,F,N
110,2017,BAHAMAS,Spearfishing,M,N
111,2017,"ST HELENA, British overseas territory",Surfing,M,N
112,2017,USA,0,F,N
113,2017,SPAIN,Swimming,F,N
114,2017,USA,0,F,N
115,2017,USA,Swimming,F,0
116,2017,USA,Kayaking,M,N
117,2017,USA,SUP,M,N
118,2017,USA,Surfing,M,N
119,2017,AUSTRALIA,Surfing,M,N
120,2017,USA,Kayaking,M,N
121,2017,USA,Swimming,M,N
122,2017,MEXICO,Fishing,M,N
123,2017,SOUTH AFRICA,Surfing,F,N
124,2017,COMOROS,Fishing,0,0
125,2017,USA,Fishing,M,0
126,2017,USA,Swimming,F,N
127,2017,USA,Surfing,M,N
128,2017,USA,Swimming,F,N
129,2017,REUNION,Body boarding,M,N
130,2017,SPAIN,Swimming,M,N
131,2017,FRENCH POLYNESIA,Surfing,M,N
132,2017,BAHAMAS,Feeding sharks,F,N
133,2017,AUSTRALIA,Body boarding,M,N
134,2017,AUSTRALIA,Surfing,F,N
135,2017,USA,Surfing,M,N
136,2017,UNITED KINGDOM,Surfing ,M,N
137,2017,USA,Spearfishing,M,N
138,2017,BAHAMAS,Snorkeling,F,N
139,2017,USA,Touching a shark,F,N
140,2017,USA,Feeding sharks,M,N
141,2017,AUSTRALIA,Fishing ,M,N
142,2017,UNITED ARAB EMIRATES,Spearfishing,M,N
143,2017,AUSTRALIA,Attempting to lasso a shark,M,N
144,2017,MEXICO,Snorkeling,M,Y
145,2017,USA,Surfing,F,0
146,2017,USA,Swimming,F,N
147,2017,SOUTH AFRICA,Surfing,M,N
148,2017,USA,Surfing,F,N
149,2017,REUNION,Body boarding,M,Y
150,2017,NEW ZEALAND,Body boarding,F,N
151,2017,USA,Photo shoot,F,0
152,2017,"ST HELENA, British overseas territory",Snorkeling,F,N
153,2017,USA,Swimming,M,0
154,2017,USA,0,0,N
